,text,labels
1401,['че розыгрыш не делаете ?'],Акции / Скидки
1556,['Ну че розыгрыш делаете ?'],Акции / Скидки
1768,Да мне удобнее вам перевести,Способы оплаты
1177,"['При получении , сколько получится сумма']",Сумма
1066,['вы мне сумму так и ?'],Сумма
978,"Прикольно, надо тебе короче предоплату брать предлагать разные способы карта, Яндекс деньги, связной например хотя бы 30 %",Инцидент
714,['давайте сейчас решим а то завтра не смогу ответить'],Инцидент
432,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
1432,['по стоимости ? Сейчас у вас скидки на все ?'],Акции / Скидки
475,"['На карту сбербанка . Напишите реквизиты , пожалуйста :']",Реквизиты
48,['Оплату за почту на карту скину так устроит'],Статус оплаты
231,Только я перевела **** руб,Статус оплаты
1123,['вы сумму так и написали ?'],Сумма
1134,['При получении сколько получится сумма ?'],Сумма
1557,['А по стоимости Сейчас у вас скидки на все'],Акции / Скидки
787,['Вы обещали вернуть 300 р. карту . Номер карты : 4072 3408 92'],Инцидент
615,"Легко , сменил реквизиты немного .",Реквизиты
1647,А по стоимости? Сейчас у вас скидки на все?,Акции / Скидки
415,['? Сбербанк ?'],Реквизиты
47,['Оплату 300 за почту на скину так устроит'],Статус оплаты
1438,['А по стоимости ? Сейчас у вас скидки все ?'],Акции / Скидки
1231,['вы сумму так и написали ?'],Сумма
149,['300 за почту на карту скину так устроит'],Статус оплаты
401,"['На карту сбербанка . Напишите реквизиты , : ) ) )']",Реквизиты
504,['******* Сбербанк'],Реквизиты
1040,"['получении , сколько получится сумма ?']",Сумма
210,"на какую сумму , я могу поменять ?",Статус оплаты
1430,['Ну че не делаете ?'],Акции / Скидки
583,карту дайте,Реквизиты
1675,Тогда давайте я вам на карту переведу .,Способы оплаты
399,"['На карту сбербанка . Напишите реквизиты , пожалуйста ) ) )']",Реквизиты
31,['Оплату 300 за почту на скину так устроит'],Статус оплаты
88,['Оплату 300 за почту на скину так устроит'],Статус оплаты
860,"['давайте сейчас , а то завтра не смогу ответить']",Инцидент
1626,['че розыгрыш не делаете ?'],Акции / Скидки
870,['Вы обещали вернуть 300 р. на карту . Номер карты 4072 3408 92'],Инцидент
99,"['Хорошо , оплачу']",Статус оплаты
300,"Хорошо, завтра оплачу",Статус оплаты
1982,А оплата сразу или можно при получении?,Способы оплаты
274,"Оплатила. Номер операции 0028, терминал 00952269 на карту маэстро 0351",Статус оплаты
1987,"Хорошо , если сегодня не успею перевести , заплачу на почте , или можно завтра перевести ?",Способы оплаты
958,Я что-то напутала!,Инцидент
1844,Как можно сделать заказ.Как у вас с оплатой?,Способы оплаты
1934,Хорошо отправляйте бордовый оплата при получении. Сразу почему-то боюсь оплачивать один раз я уже пролитела,Способы оплаты
1964,ОПЛАТА КАРТА,Способы оплаты
