,text,labels
823,**** белый,Характеристики продукта
75,Да,Общеразговорные
893,А Другие модели ?,Характеристики продукта
705,"***** , может рамку эту ?",Другое
587,Сейчас оплачу,Оплата
3,Нет такие не нравятся,Общеразговорные
546,Хорошо ! А можно оплатить при получении ?,Оплата
834,Размер **,Характеристики продукта
124,Как это можно сделать ?,Общеразговорные
292,Отлично ! Я готова подождать !,Доставка
10,Спасибо,Общеразговорные
214,Я хочу второй халат заменить на тунику,Доставка
729,"***** , может рамку эту ?",Другое
666,Из дисков ?,Другое
848,рост *** обх . груди *** обх . бедер ***,Характеристики продукта
91,"ок , давайте сделаю",Общеразговорные
323,"Да , адрес то же .. Спасибо",Доставка
790,Блуза так же **** и брюки **** ? Все правильно ?,Характеристики продукта
408,"У меня показывает , что не находит такой карты (",Оплата
39,Увидела в другом паблике ),Общеразговорные
969,Давайте блузу и ярко голубые брюки,Характеристики продукта
396,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
346,"Индекс ****** * мкр . , д . ** . , вы . ** г . Белоярский Тюменская обл **** - **** .",Доставка
677,Из дисков ?,Другое
900,Из плотной ткани ),Характеристики продукта
516,"У меня показывает , что не находит такой карты (",Оплата
279,Г . *********** ул . Советская д . ** кв . ** ****** тел . ********** *,Доставка
501,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
775,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
441,"У меня показывает , что не находит такой карты (",Оплата
198,А сколько по времени доставка будет ?,Доставка
591,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
623,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
172,"Мне знаешь ещё что неприятно бывает , мы как-то были у них и Деля фломастеры взяла и вся выпачкалась , так Катюха с таким пренебрежением на неё , типа мы свиньи",Общеразговорные
66,"Спасибо ! Я вам завтра напишу , сейчас на работе не очень удобно ..",Общеразговорные
312,Здравствуйте ! Меня заинтересовал этот товар . Цена эта ? сколько доставка ?,Доставка
609,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
723,"***** , может рамку эту ?",Другое
115,Да,Общеразговорные
600,"***** , может рамку эту ?",Другое
414,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
392,"И если есть возможность , отправьте мне его сегодня .",Доставка
818,Не могу определиться с моделью . Может подскажите какая сидит лучше на невысоких девушках вот эта или первая ?,Характеристики продукта
69,Ок,Общеразговорные
379,Телефон ********** *,Доставка
757,Из дисков ?,Другое
977,На рост *** можете сшить ?,Характеристики продукта
391,А как заказать ? ) ),Доставка
797,И какая длина платья ?,Характеристики продукта
590,общая сумма с доставкой ?,Оплата
395,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
311,Пришлите потом трек номер для отслеживания,Доставка
464,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
125,Спасибо,Общеразговорные
956,"*** , можно Вам сделать заказ ?",Характеристики продукта
179,"Мне мама купила похожий , извините",Общеразговорные
626,"***** , может рамку эту ?",Другое
832,И есть на попе тоже фотографии,Характеристики продукта
572,карту сбербанка,Оплата
418,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
798,А вместе с белым костюмом отправите ?,Характеристики продукта
452,"У меня показывает , что не находит такой карты (",Оплата
604,"***** , может рамку эту ?",Другое
555,Можно выслать бланк на оплату на электронную почту : ********************,Оплата
762,Из дисков ?,Другое
129,"Хорошо , спасибо )",Общеразговорные
334,Адрес другой : ******* ** . кв ** ... Все остальное также,Доставка
556,На карту сбербанка,Оплата
327,Улица просвещения дом ** кВ ** индекс ******,Доставка
381,Я хочу отказ сделать,Доставка
951,"*** , здравствуйте ! Хочу вот такую блузку )",Характеристики продукта
242,А сколько по времени доставка будет ?,Доставка
106,"Ок , жду тогда",Общеразговорные
734,Из дисков ?,Другое
786,Только смс,Другое
34,Спасибо,Общеразговорные
229,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
321,Фото предыдущего заказа ) ) ),Доставка
789,"Брюки белые , из плотной ткани , размер **",Характеристики продукта
890,Ага ясно . А ткань сатори ?,Характеристики продукта
578,"*** , здравствуйте ! Получила посылку , но забрать не могу , потому что нет бланка на оплату , что делать ?",Оплата
595,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
776,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
256,Тюменская область ХМАО г ************* ул Мира ************ **,Доставка
410,"Я заказала через Инстаграм , изменить вид оплаты можно ? И индекс там не вводила",Оплата
459,ОгОго ) что то быстро ) ) обычно на сбербанк в течение ** дней доходит,Оплата
831,можно сшить брюки такого же цвета и к ним вот такую блузу ?,Характеристики продукта
218,Я хочу второй халат заменить на тунику,Доставка
636,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
820,"А можно брюки , а к еим рубашку с доплатой ?",Характеристики продукта
674,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
580,"*** , добрый день ! Посылка пришла , но с наложенным платежом . Я деньги Вам переводила",Оплата
542,Оплачу по карте,Оплата
714,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет .",Другое
523,"оплачу при получении , ********** *",Оплата
147,А у меня ****,Общеразговорные
857,"Здравствуйте , вот такой халатик хочу заказать , возможно ?",Характеристики продукта
908,"размер ** , легкая ткань , с брюками",Характеристики продукта
359,Когда отправили ? ?,Доставка
